Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
arc_easy,White Box,DIM,500,500,24,0.864356,0.8495400100004333,0.468
arc_easy,White Box,LAT,500,500,32,0.7367720000000001,0.6637433926586863,0.0
arc_easy,White Box,CCS,500,500,19,0.887696,0.8825726040727859,0.556
arc_easy,White Box,LDA,500,500,26,0.794636,0.787590373441347,0.2
arc_easy,White Box,PCA,500,500,32,0.758388,0.6958402787842067,0.002
arc_easy,White Box,PCA-G,500,500,17,0.8433760000000001,0.8205496292732115,0.362
arc_easy,White Box,LR-G,500,500,21,0.9844280000000001,0.9848731236099351,0.97
arc_easy,Black Box,BB,1000,1000,N/A,0.879156,0.8710948585879184,0.496
arc_easy,White Box,LR,1000,1000,18,0.888024,0.8881866363047313,0.548
arc_easy,White Box,DIM,1000,1000,24,0.866484,0.8517893381210032,0.454
arc_easy,White Box,LAT,1000,1000,32,0.705204,0.6333401805301725,0.0
arc_easy,White Box,CCS,1000,1000,17,0.901332,0.899012230730329,0.624
arc_easy,White Box,LDA,1000,1000,26,0.784216,0.7610984551269167,0.012
arc_easy,White Box,PCA,1000,1000,32,0.7279359999999999,0.6575424446738584,0.0
arc_easy,White Box,PCA-G,1000,1000,17,0.845024,0.8222621033439166,0.346
arc_easy,White Box,LR-G,1000,1000,23,0.983348,0.983910363387503,0.966
arc_easy,Black Box,BB,2000,2000,N/A,0.8740479999999999,0.867069756951873,0.426
arc_easy,White Box,LR,2000,2000,16,0.9002919999999998,0.8944538514418146,0.636
arc_easy,White Box,DIM,2000,2000,17,0.8662440000000001,0.8518284921329112,0.506
arc_easy,White Box,LAT,2000,2000,32,0.701532,0.6356139477104672,0.0
arc_easy,White Box,CCS,2000,2000,22,0.9025480000000001,0.9009654724466696,0.618
arc_easy,White Box,LDA,2000,2000,17,0.7168119999999999,0.7106652188417939,0.054
arc_easy,White Box,PCA,2000,2000,32,0.6968960000000001,0.6324096999031328,0.0
arc_easy,White Box,PCA-G,2000,2000,17,0.8507800000000001,0.8316764485456793,0.422
arc_easy,White Box,LR-G,2000,2000,18,0.98534,0.985758472633616,0.972
arc_easy,Black Box,BB,5000,4642,N/A,0.8747600000000001,0.8717050214584061,0.418
arc_easy,White Box,LR,5000,4642,17,0.9165399999999999,0.9142772749331951,0.688
arc_easy,White Box,DIM,5000,4642,24,0.869592,0.8559479954870285,0.494
arc_easy,White Box,LAT,5000,4642,32,0.6544800000000001,0.6025989882320426,0.002
arc_easy,White Box,CCS,5000,4642,24,0.908916,0.9034278140579891,0.604
arc_easy,White Box,LDA,5000,4642,24,0.603332,0.5790284471251206,0.0
arc_easy,White Box,PCA,5000,4642,32,0.661144,0.6075969995683803,0.002
arc_easy,White Box,PCA-G,5000,4642,24,0.858112,0.8389491974267175,0.324
arc_easy,White Box,LR-G,5000,4642,17,0.985928,0.9863632425315086,0.972
open_book_qa,Black Box,BB,100,100,N/A,0.66792,0.6474283945010285,0.002
open_book_qa,White Box,LR,100,100,30,0.7061,0.6824506327199313,0.0
open_book_qa,White Box,DIM,100,100,31,0.743392,0.7400352331899794,0.124
open_book_qa,White Box,LAT,100,100,23,0.7120080000000001,0.6895998202140857,0.018
open_book_qa,White Box,CCS,100,100,17,0.7195679999999999,0.7046674247407243,0.098
open_book_qa,White Box,LDA,100,100,21,0.71608,0.7042272896553136,0.0
open_book_qa,White Box,PCA,100,100,17,0.725,0.7093646441664554,0.068
open_book_qa,White Box,PCA-G,100,100,28,0.74238,0.740393620477316,0.134
open_book_qa,White Box,LR-G,100,100,21,0.8709679999999999,0.8740568548330986,0.49
open_book_qa,Black Box,BB,200,200,N/A,0.723884,0.6763274813640915,0.0
open_book_qa,White Box,LR,200,200,21,0.7552319999999999,0.7380542467113881,0.054
open_book_qa,White Box,DIM,200,200,23,0.7482519999999999,0.7478425721414946,0.126
open_book_qa,White Box,LAT,200,200,32,0.69792,0.6694581738580822,0.004
open_book_qa,White Box,CCS,200,200,22,0.690982,0.6444014826740149,0.002
open_book_qa,White Box,LDA,200,200,19,0.727436,0.7109010136143483,0.084
open_book_qa,White Box,PCA,200,200,21,0.722104,0.7077698432683257,0.05
open_book_qa,White Box,PCA-G,200,200,31,0.7419880000000001,0.7407534140051509,0.128
open_book_qa,White Box,LR-G,200,200,23,0.9117599999999999,0.91320754241928,0.692
open_book_qa,Black Box,BB,500,500,N/A,0.716202,0.6693606198100394,0.0
open_book_qa,White Box,LR,500,500,17,0.7640359999999999,0.7469864823308514,0.066
open_book_qa,White Box,DIM,500,500,23,0.749684,0.7495016815695543,0.162
open_book_qa,White Box,LAT,500,500,29,0.702568,0.6698252400245773,0.002
open_book_qa,White Box,CCS,500,500,18,0.737108,0.7232374628342328,0.004
open_book_qa,White Box,LDA,500,500,17,0.6962439999999999,0.6921005073661283,0.042
open_book_qa,White Box,PCA,500,500,30,0.7129920000000001,0.6846637114876705,0.006
open_book_qa,White Box,PCA-G,500,500,30,0.7472759999999999,0.7448658602740514,0.138
open_book_qa,White Box,LR-G,500,500,16,0.9350959999999999,0.936858464790631,0.756
open_book_qa,Black Box,BB,1000,1000,N/A,0.7274479999999999,0.697942231152985,0.0
open_book_qa,White Box,LR,1000,1000,17,0.7995559999999999,0.7923620378957199,0.236
open_book_qa,White Box,DIM,1000,1000,23,0.749928,0.7490932197763527,0.168
open_book_qa,White Box,LAT,1000,1000,22,0.7151839999999999,0.6908398998275603,0.032
open_book_qa,White Box,CCS,1000,1000,18,0.7580279999999999,0.7542417601082174,0.116
open_book_qa,White Box,LDA,1000,1000,19,0.713584,0.7006351102461387,0.044
open_book_qa,White Box,PCA,1000,1000,17,0.7216439999999998,0.7036120689340304,0.054
open_book_qa,White Box,PCA-G,1000,1000,30,0.746744,0.7433201094839488,0.13
open_book_qa,White Box,LR-G,1000,1000,18,0.953532,0.954314412646995,0.844
open_book_qa,Black Box,BB,2000,2000,N/A,0.7362280000000001,0.7174393022245971,0.028
open_book_qa,White Box,LR,2000,2000,16,0.823844,0.8148258127921844,0.234
open_book_qa,White Box,DIM,2000,2000,22,0.7514360000000001,0.7510302027774691,0.16
open_book_qa,White Box,LAT,2000,2000,17,0.720384,0.7018499933717771,0.044
open_book_qa,White Box,CCS,2000,2000,17,0.7749680000000001,0.7646141103153494,0.058
open_book_qa,White Box,LDA,2000,2000,16,0.684472,0.6517191733441123,0.004
open_book_qa,White Box,PCA,2000,2000,17,0.7218519999999998,0.7041877550222322,0.05
open_book_qa,White Box,PCA-G,2000,2000,22,0.746672,0.7440566261662733,0.146
open_book_qa,White Box,LR-G,2000,2000,22,0.94816,0.9467539768442275,0.846
open_book_qa,Black Box,BB,5000,5000,N/A,0.7455080000000001,0.7315102088636468,0.082
