Source,Target,Method,Layer_Config,Layer,InDist_AUC,OutDist_AUC,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
open_book_qa,got_cities,Grouped Logistic Regression,L8,8,0.6773333333333333,0.49187988105741265,0.7262006117973612,1.254030329064958,0.8250825082508251
open_book_qa,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.6773333333333333,0.5014863258026159,0.740383355023547,1.254985699904127,4.310344827586206
open_book_qa,got_larger_than,Grouped Logistic Regression,L8,8,0.6773333333333333,0.5060943078754052,0.7471864781625077,1.2017515107652612,0.0
open_book_qa,imdb,Grouped Logistic Regression,L8,8,0.6773333333333333,0.804452,1.1876751968503936,2.0171497412557255,133.0
open_book_qa,amazon_polarity,Grouped Logistic Regression,L8,8,0.6773333333333333,0.580544,0.8571023622047244,1.3191552249728928,0.5
open_book_qa,ag_news,Grouped Logistic Regression,L8,8,0.6773333333333333,0.6172960000000001,0.9113622047244095,0.868761546385125,12.0
open_book_qa,dbpedia_14,Grouped Logistic Regression,L8,8,0.6773333333333333,0.09771611590038314,0.14426591914426642,0.09438257341928687,0.0
open_book_qa,rte,Grouped Logistic Regression,L8,8,0.6773333333333333,0.4640227293461403,0.6850729271842623,1.1098205729943604,0.0
open_book_qa,copa,Grouped Logistic Regression,L8,8,0.6773333333333333,0.49829999999999997,0.7356791338582677,1.1835501126488248,0.0
open_book_qa,boolq,Grouped Logistic Regression,L8,8,0.6773333333333333,0.599384,0.8849173228346457,1.3761747328579568,1.0
got_cities,commonsense_qa,Grouped Logistic Regression,L8,8,0.748161944907362,0.562784375,0.7522226689432653,0.31333198993036565,0.0
got_cities,race,Grouped Logistic Regression,L8,8,0.748161944907362,0.4885386666666667,0.6529851858839972,0.31101068829280304,0.0
got_cities,arc_easy,Grouped Logistic Regression,L8,8,0.748161944907362,0.530302301081824,0.7088068361288897,0.34075581485399203,0.0
got_cities,arc_challenge,Grouped Logistic Regression,L8,8,0.748161944907362,0.4832525704923963,0.6459197420850281,0.3193857152069461,0.0
got_cities,open_book_qa,Grouped Logistic Regression,L8,8,0.748161944907362,0.45076800000000006,0.6025005723270441,0.30176928597911196,0.026933333333333333
got_cities,got_cities,Grouped Logistic Regression,L8,8,0.748161944907362,0.748161944907362,1.0,1.0,1.0
got_cities,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.748161944907362,0.4768133174791914,0.6373129784598051,0.673904190507798,0.17413793103448277
got_cities,got_larger_than,Grouped Logistic Regression,L8,8,0.748161944907362,0.4785512021527945,0.6396358507810085,0.6744752151203882,0.04075867635189669
got_cities,imdb,Grouped Logistic Regression,L8,8,0.748161944907362,0.298144,0.39850195807127886,0.522399547890142,0.020200000000000003
got_cities,amazon_polarity,Grouped Logistic Regression,L8,8,0.748161944907362,0.518268,0.69272168081761,0.6439376635880132,0.006733333333333333
got_cities,ag_news,Grouped Logistic Regression,L8,8,0.748161944907362,0.5702560000000001,0.7622093102725368,0.5395087433043533,0.30973333333333336
