Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,DIM,11,AUC,0.6982458666666668,0.6986095999999999,222.0,0.8393927440047264,False
commonsense_qa,DIM,11,Macro F1,0.6348217456316676,0.6434519657263064,16.0,1.3181208948734449e-05,True
commonsense_qa,DIM,13,AUC,0.7525109333333333,0.7537296000000001,99.0,0.006033671041712578,True
commonsense_qa,DIM,13,Macro F1,0.689597405962951,0.6921469673325257,111.0,0.036173574705865234,True
commonsense_qa,DIM,15,AUC,0.7679968,0.7703136000000002,4.0,2.5985795409225433e-06,True
commonsense_qa,DIM,15,Macro F1,0.7064783350755292,0.7089958122888391,105.0,0.007612137123942375,True
commonsense_qa,DIM,17,AUC,0.7929525333333333,0.7917562666666669,1.0,1.919722783767457e-06,True
commonsense_qa,DIM,17,Macro F1,0.717000898716075,0.7101889462805691,10.0,8.009374141693115e-08,True
commonsense_qa,DIM,19,AUC,0.7866592,0.7855344000000001,0.0,1.7333066441991056e-06,True
commonsense_qa,DIM,19,Macro F1,0.7116135981807308,0.7101114718714541,142.0,0.0635564886033535,False
commonsense_qa,DIM,21,AUC,0.7880645333333333,0.7871466666666667,3.0,2.350534129999123e-06,True
commonsense_qa,DIM,21,Macro F1,0.7105169426306257,0.7101898935437085,212.0,0.685047073289752,False
commonsense_qa,DIM,23,AUC,0.7857679999999999,0.7845536,0.0,1.7224282827430733e-06,True
commonsense_qa,DIM,23,Macro F1,0.719294271109887,0.711576397326403,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,25,AUC,0.7880831999999999,0.7864432,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,25,Macro F1,0.7180424658762763,0.7077206686881146,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,27,AUC,0.7870602666666665,0.7855466666666666,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,27,Macro F1,0.7120415076859791,0.7027726167119345,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,29,AUC,0.7860352,0.7841477333333333,0.0,1.862645149230957e-09,True
commonsense_qa,DIM,29,Macro F1,0.7079997438536823,0.7054342561650349,73.0,0.0006084088236093521,True
commonsense_qa,DIM,31,AUC,0.7840831999999999,0.7822837333333332,0.0,1.7333066441991056e-06,True
commonsense_qa,DIM,31,Macro F1,0.7076022838938769,0.7019657979787811,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,1,AUC,0.5003701333333334,0.5001626666666666,49.0,0.00016020707259041777,True
commonsense_qa,LAT,1,Macro F1,0.4848380234060855,0.4689854735615552,2.0,5.587935447692871e-09,True
commonsense_qa,LAT,3,AUC,0.5005829333333334,0.5000138666666667,110.0,0.011743660161690107,True
commonsense_qa,LAT,3,Macro F1,0.49904696907897883,0.48630701372017066,5.0,1.862645149230957e-08,True
commonsense_qa,LAT,5,AUC,0.49996853333333335,0.4996975999999999,149.0,0.08793856762349606,False
commonsense_qa,LAT,5,Macro F1,0.49224514416864373,0.49488321449639294,109.0,0.00993151031434536,True
commonsense_qa,LAT,7,AUC,0.5005274666666667,0.5006709333333333,183.0,0.31839608028531075,False
commonsense_qa,LAT,7,Macro F1,0.5013661359525523,0.5090463868954191,8.0,4.6566128730773926e-08,True
commonsense_qa,LAT,9,AUC,0.5063013333333334,0.5068464,141.0,0.06056523136794567,False
commonsense_qa,LAT,9,Macro F1,0.5092376369321546,0.5075743215776057,161.0,0.1459994912147522,False
commonsense_qa,LAT,11,AUC,0.5099952,0.5069221333333334,1.0,3.725290298461914e-09,True
commonsense_qa,LAT,11,Macro F1,0.5086246641806809,0.5058702462172027,99.0,0.0050126127898693085,True
commonsense_qa,LAT,13,AUC,0.5308736000000001,0.5257664,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,13,Macro F1,0.5204703351579829,0.515922792172351,35.0,7.994472980499268e-06,True
commonsense_qa,LAT,15,AUC,0.5311775999999999,0.5261536,0.0,1.7333066441991056e-06,True
