Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup B (Imbalanced),White Box,LAT,19,0.6593039999999999,0.6554511721663369,0.04
commonsense_qa,Setup A (Balanced),White Box,LAT,21,0.648752,0.6519199025082034,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LAT,21,0.7026319999999999,0.695034311652364,0.0
commonsense_qa,Setup A (Balanced),White Box,LAT,23,0.726936,0.717101737640254,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LAT,23,0.72844,0.7171784244722732,0.038
commonsense_qa,Setup A (Balanced),White Box,LAT,25,0.6945039999999999,0.689613498941352,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LAT,25,0.7208760000000001,0.7078127480465708,0.004
commonsense_qa,Setup A (Balanced),White Box,LAT,27,0.7476480000000001,0.7332038888521947,0.024
commonsense_qa,Setup B (Imbalanced),White Box,LAT,27,0.7362279999999999,0.7173124864064427,0.008
commonsense_qa,Setup A (Balanced),White Box,LAT,29,0.747452,0.7329330421325421,0.028
commonsense_qa,Setup B (Imbalanced),White Box,LAT,29,0.737852,0.7210190260798035,0.006
commonsense_qa,Setup A (Balanced),White Box,LAT,31,0.738224,0.7241517390893051,0.042
commonsense_qa,Setup B (Imbalanced),White Box,LAT,31,0.733104,0.7154649829250406,0.006
commonsense_qa,Setup A (Balanced),White Box,CCS,1,0.505766,0.5092269903912838,0.004
commonsense_qa,Setup B (Imbalanced),White Box,CCS,1,0.5050239999999999,0.5087116645624914,0.002
commonsense_qa,Setup A (Balanced),White Box,CCS,3,0.49132400000000004,0.4984237283659825,0.004
commonsense_qa,Setup B (Imbalanced),White Box,CCS,3,0.485832,0.49232536282336703,0.002
commonsense_qa,Setup A (Balanced),White Box,CCS,5,0.517182,0.5103137630161158,0.002
commonsense_qa,Setup B (Imbalanced),White Box,CCS,5,0.524144,0.518293422840075,0.002
commonsense_qa,Setup A (Balanced),White Box,CCS,7,0.5081600000000001,0.5071294556998069,0.0
commonsense_qa,Setup B (Imbalanced),White Box,CCS,7,0.505904,0.5044278619776709,0.002
commonsense_qa,Setup A (Balanced),White Box,CCS,9,0.506308,0.5026114930321284,0.0
commonsense_qa,Setup B (Imbalanced),White Box,CCS,9,0.5580320000000001,0.5506905542209336,0.0
commonsense_qa,Setup A (Balanced),White Box,CCS,11,0.68916,0.6865846118544193,0.024
commonsense_qa,Setup B (Imbalanced),White Box,CCS,11,0.55478,0.5545667948757047,0.002
commonsense_qa,Setup A (Balanced),White Box,CCS,13,0.7889720000000001,0.7687453081261205,0.008
commonsense_qa,Setup B (Imbalanced),White Box,CCS,13,0.752004,0.7343346330540201,0.054
commonsense_qa,Setup A (Balanced),White Box,CCS,15,0.773388,0.7539565642645278,0.036
commonsense_qa,Setup B (Imbalanced),White Box,CCS,15,0.7996840000000001,0.7842958738885377,0.144
commonsense_qa,Setup A (Balanced),White Box,CCS,17,0.804624,0.7961760893591525,0.146
commonsense_qa,Setup B (Imbalanced),White Box,CCS,17,0.723796,0.7140864525759079,0.06
commonsense_qa,Setup A (Balanced),White Box,CCS,19,0.808028,0.795079679980426,0.174
