Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
arc_easy,Setup A (Balanced),White Box,LR,18,0.8968440000000001,0.898325182246249,0.644
arc_easy,Setup B (Imbalanced),White Box,LR,17,0.89174,0.8995147004923488,0.648
arc_easy,Setup A (Balanced),White Box,DIM,24,0.849556,0.8434336441368011,0.434
arc_easy,Setup B (Imbalanced),White Box,DIM,24,0.84938,0.8417318588645641,0.428
arc_easy,Setup A (Balanced),White Box,LAT,32,0.6326919999999999,0.6027170824347415,0.012
arc_easy,Setup B (Imbalanced),White Box,LAT,32,0.681076,0.6412315444257877,0.004
arc_easy,Setup A (Balanced),White Box,CCS,26,0.8845519999999999,0.8886241048970611,0.602
arc_easy,Setup B (Imbalanced),White Box,CCS,24,0.8702719999999999,0.8712489294137411,0.494
arc_easy,Setup A (Balanced),White Box,LDA,26,0.761056,0.7391361233598766,0.0
arc_easy,Setup B (Imbalanced),White Box,LDA,20,0.7429320000000001,0.728584873247403,0.04
arc_easy,Setup A (Balanced),White Box,PCA,32,0.602468,0.5779111490750813,0.012
arc_easy,Setup B (Imbalanced),White Box,PCA,32,0.647472,0.6161664500269977,0.006
arc_easy,Setup A (Balanced),White Box,PCA-G,24,0.834684,0.8153868907627255,0.29
arc_easy,Setup B (Imbalanced),White Box,PCA-G,24,0.8203479999999999,0.7918167200627919,0.138
arc_easy,Setup A (Balanced),White Box,LR-G,26,0.978996,0.979682739543406,0.94
arc_easy,Setup B (Imbalanced),White Box,LR-G,18,0.9794360000000001,0.9802782638782859,0.946
ag_news,Setup A (Balanced),Black Box,BB,N/A,0.887196,0.8554948946207075,0.36
ag_news,Setup B (Imbalanced),Black Box,BB,N/A,0.887196,0.8554948946207075,0.36
ag_news,Setup A (Balanced),White Box,LR,16,0.976792,0.977450202578467,0.956
ag_news,Setup B (Imbalanced),White Box,LR,16,0.976792,0.977450202578467,0.956
ag_news,Setup A (Balanced),White Box,DIM,18,0.910908,0.8988299581790715,0.51
ag_news,Setup B (Imbalanced),White Box,DIM,18,0.910908,0.8988299581790715,0.51
ag_news,Setup A (Balanced),White Box,LAT,32,0.895608,0.8713822646437719,0.406
ag_news,Setup B (Imbalanced),White Box,LAT,31,0.891716,0.8621509161140302,0.354
ag_news,Setup A (Balanced),White Box,CCS,23,0.965644,0.9661888111089745,0.902
ag_news,Setup B (Imbalanced),White Box,CCS,29,0.9378559999999999,0.9365393797492265,0.734
ag_news,Setup A (Balanced),White Box,LDA,16,0.9382920000000001,0.9312528357054343,0.832
ag_news,Setup B (Imbalanced),White Box,LDA,16,0.9382920000000001,0.9312528357054343,0.832
ag_news,Setup A (Balanced),White Box,PCA,31,0.893408,0.8675979840783101,0.506
ag_news,Setup B (Imbalanced),White Box,PCA,31,0.893408,0.8675979840783101,0.506
ag_news,Setup A (Balanced),White Box,PCA-G,30,0.892144,0.8694842646987233,0.486
ag_news,Setup B (Imbalanced),White Box,PCA-G,30,0.892144,0.8694842646987233,0.486
ag_news,Setup A (Balanced),White Box,LR-G,18,0.980812,0.9811370880169685,0.964
ag_news,Setup B (Imbalanced),White Box,LR-G,18,0.980812,0.9811370880169685,0.964
dbpedia_14,Setup A (Balanced),Black Box,BB,N/A,0.9770737098648227,0.9806971475572756,0.9456740442655935
dbpedia_14,Setup B (Imbalanced),Black Box,BB,N/A,0.9770737098648227,0.9806971475572756,0.9456740442655935
dbpedia_14,Setup A (Balanced),White Box,LR,16,0.9998502078871621,0.9998584771711702,1.0
dbpedia_14,Setup B (Imbalanced),White Box,LR,16,0.9998502078871621,0.9998584771711702,1.0
dbpedia_14,Setup A (Balanced),White Box,DIM,10,0.9896967316980354,0.990959123244897,0.9557344064386318
dbpedia_14,Setup B (Imbalanced),White Box,DIM,10,0.9896967316980354,0.990959123244897,0.9557344064386318
dbpedia_14,Setup A (Balanced),White Box,LAT,29,0.961406264549065,0.9662514708488172,0.8913480885311871
dbpedia_14,Setup B (Imbalanced),White Box,LAT,29,0.9597625997433291,0.9646539016810567,0.8832997987927566
dbpedia_14,Setup A (Balanced),White Box,CCS,9,0.9979717338234639,0.9980750111137421,1.0
dbpedia_14,Setup B (Imbalanced),White Box,CCS,9,0.998910970855313,0.9989293573114041,1.0
dbpedia_14,Setup A (Balanced),White Box,LDA,24,0.9990081333068835,0.9993311738836111,0.9979879275653923
dbpedia_14,Setup B (Imbalanced),White Box,LDA,24,0.9990081333068835,0.9993311738836111,0.9979879275653923
dbpedia_14,Setup A (Balanced),White Box,PCA,28,0.963244254257942,0.9682687617542277,0.9014084507042254
dbpedia_14,Setup B (Imbalanced),White Box,PCA,28,0.963244254257942,0.9682687617542277,0.9014084507042254
dbpedia_14,Setup A (Balanced),White Box,PCA-G,10,0.9869276018282735,0.9878692179549023,0.9537223340040242
dbpedia_14,Setup B (Imbalanced),White Box,PCA-G,10,0.9869276018282735,0.9878692179549023,0.9537223340040242
dbpedia_14,Setup A (Balanced),White Box,LR-G,13,1.0,1.0,1.0
dbpedia_14,Setup B (Imbalanced),White Box,LR-G,13,1.0,1.0,1.0
