,,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Method,Algorithm,,,,,,,,
ag_news,White Box (Probes),PCA,0.6871507666666666,0.6871506166666667,0.6473458333333333,0.6473458333333333,0.643868774939196,0.643868774939196,0.675275,0.675275
ag_news,White Box (Probes),PCA-G,0.6962085666666666,0.6962088333333334,0.6483041666666668,0.6483041666666668,0.6414037211636617,0.6414037211636617,0.6697833333333333,0.6697833333333333
arc_challenge,Black Box (Logprobs),CCS,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),DIM,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),LAT,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),LDA,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),LR,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),LR-G,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),PCA,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,Black Box (Logprobs),PCA-G,0.7022192393736018,0.6905428784489188,0.6331103678929766,0.6027870680044594,0.6317064968069502,0.5627707833262392,0.6935063385533183,0.30112751677852345
arc_challenge,White Box (Probes),CCS,0.6402063758389261,0.6368128262490679,0.5999581939799331,0.5998258082497212,0.5991769696988143,0.5990115568913755,0.6225674869500373,0.6035052199850858
arc_challenge,White Box (Probes),DIM,0.6301088739746458,0.6273475950782997,0.5806159420289856,0.5806368450390189,0.5773163411238855,0.5793115685079421,0.6645181767337808,0.6158605518269947
arc_challenge,White Box (Probes),LAT,0.5117928784489186,0.5146361856823266,0.5053372352285396,0.5092670011148271,0.5042577034154839,0.5082994985074086,0.49721122296793435,0.48955574198359436
